FECHA_CORTE;ANP_CATE;ANP_CODI;ANP_NOMB;ANP_SECT;ANP_UBPO;ANP_SULEG;ANP_UICN;ANP_BALEC;ANP_FELEC;ANP_BALEM;ANP_FELEM;ANP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9;UBIGEO10;DEPARTAMENTO10;PROVINCIA10;DISTRITO10;UBIGEO11;DEPARTAMENTO11;PROVINCIA11;DISTRITO11;UBIGEO12;DEPARTAMENTO12;PROVINCIA12;DISTRITO12;UBIGEO13;DEPARTAMENTO13;PROVINCIA13;DISTRITO13;UBIGEO14;DEPARTAMENTO14;PROVINCIA14;DISTRITO14;UBIGEO15;DEPARTAMENTO15;PROVINCIA15;DISTRITO15;UBIGEO16;DEPARTAMENTO16;PROVINCIA16;DISTRITO16;UBIGEO17;DEPARTAMENTO17;PROVINCIA17;DISTRITO17;UBIGEO18;DEPARTAMENTO18;PROVINCIA18;DISTRITO18;UBIGEO19;DEPARTAMENTO19;PROVINCIA19;DISTRITO19;UBIGEO20;DEPARTAMENTO20;PROVINCIA20;DISTRITO20;UBIGEO21;DEPARTAMENTO21;PROVINCIA21;DISTRITO21;UBIGEO22;DEPARTAMENTO22;PROVINCIA22;DISTRITO22;UBIGEO23;DEPARTAMENTO23;PROVINCIA23;DISTRITO23;UBIGEO24;DEPARTAMENTO24;PROVINCIA24;DISTRITO24;UBIGEO25;DEPARTAMENTO25;PROVINCIA25;DISTRITO25;UBIGEO26;DEPARTAMENTO26;PROVINCIA26;DISTRITO26;UBIGEO27;DEPARTAMENTO27;PROVINCIA27;DISTRITO27;UBIGEO28;DEPARTAMENTO28;PROVINCIA28;DISTRITO28;UBIGEO29;DEPARTAMENTO29;PROVINCIA29;DISTRITO29;UBIGEO30;DEPARTAMENTO30;PROVINCIA30;DISTRITO30
20230906;Área de Conservacón Regional;ACR11;Angostura-Faical;;Tumbes;8794.50;No corresponde;D.S. Nº 006-2011-MINAM;20110318; ;;555555656;240104;TUMBES;TUMBES;PAMPAS DE HOSPITAL;240106;TUMBES;TUMBES;SAN JUAN DE LA VIRGEN;240303;TUMBES;ZARUMILLA;MATAPALO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR12;Bosque Huacrupe-La Calera;;Lambayeque;7272.27;No corresponde;D.S. Nº 012-2011-MINAM;20110622; ;;555555661;140308;LAMBAYEQUE;LAMBAYEQUE;OLMOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR13;Bosque Moyan-Palacio;;Lambayeque;8457.76;No corresponde;D.S. Nº 013-2011-MINAM;20110622; ;;555555662;140310;LAMBAYEQUE;LAMBAYEQUE;SALAS;140308;LAMBAYEQUE;LAMBAYEQUE;OLMOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR14;Huaytapallana;;Junín;22406.52;No corresponde;D.S. Nº 018-2011-MINAM;20110721; ;;555555667;120114;JUNIN;HUANCAYO;EL TAMBO;120128;JUNIN;HUANCAYO;QUILCAS;120206;JUNIN;CONCEPCION;COMAS;120101;JUNIN;HUANCAYO;HUANCAYO;120124;JUNIN;HUANCAYO;PARIAHUANCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR15;Bosques Secos Salitral - Huarmaca;Sector Norte;Piura;25137.36;No corresponde;D.S. Nº 019-2011-MINAM;20110721; ;;555623629;200304;PIURA;HUANCABAMBA;HUARMACA;200304;PIURA;HUANCABAMBA;HUARMACA;200406;PIURA;MORROPON;SALITRAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR16;Laguna de Huacachina;;Ica;2407.72;No corresponde;D.S. Nº 008-2014-MINAM;20140806; ;;555555615;110101;ICA;ICA;ICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR17;Maijuna Kichwa;;Loreto;391039.82;No corresponde;D.S. Nº 008-2015-MINAM;20150616; ;;555623630;160105;LORETO;MAYNAS;LAS AMAZONAS;160106;LORETO;MAYNAS;MAZAN;160107;LORETO;MAYNAS;NAPO;160402;LORETO;MARISCAL RAMON CASTILLA;PEBAS;160801;LORETO;PUTUMAYO;PUTUMAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR18;Tres Cañones;Ámbito Sur;Cusco;20783.83;No corresponde;D.S. N° 006-2017-MINAM;20170824; ;;555629238;80807;CUSCO;ESPINAR;SUYCKUTAMBO;80803;CUSCO;ESPINAR;COPORAQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR18;Tres Cañones;Ámbito Norte;Cusco;18701.28;No corresponde;D.S. N° 006-2017-MINAM;20170824; ;;555629238;80803;CUSCO;ESPINAR;COPORAQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR19;Vista Alegre-Omia;;Amazonas;48944.51;No corresponde;D.S. N° 005-2018-MINAM;20180617; ;;555637429;10609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;10612;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR20;Bosques Tropicales Estacionalmente Secos del Marañón;;Amazonas;13929.12;No corresponde;D.S. N° 006-2018-MINAM;20180617; ;;555637428;10103;AMAZONAS;CHACHAPOYAS;BALSAS;10503;AMAZONAS;LUYA;COCABAMBA;10514;AMAZONAS;LUYA;PISUQUIA;10513;AMAZONAS;LUYA;OCUMAL;10515;AMAZONAS;LUYA;PROVIDENCIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR21;Bosques de Shunté y Mishollo;;San Martín;191405.53;No corresponde;D.S. N° 016-2018-MINAM;20181215; ;;555643522;221004;SAN MARTIN;TOCACHE;SHUNTE;221001;SAN MARTIN;TOCACHE;TOCACHE;221003;SAN MARTIN;TOCACHE;POLVORA;220603;SAN MARTIN;MARISCAL CACERES;HUICUNGO;220602;SAN MARTIN;MARISCAL CACERES;CAMPANILLA;221005;SAN MARTIN;TOCACHE;UCHIZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
